,title,link
57,11月25日：逝去的马拉多纳、卡斯特罗与红色的岁月,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679764&idx=1&sn=ed1999f11f5ecea4a4c7a5aa5be8e5ef&chksm=bed4a6f589a32fe36e6f41006fd2c269ee80b84fa19e64b89edf49466e0048777cb5a0b0363b#rd
58,新童话：被蛋壳公寓赶出家门的打工人,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679743&idx=1&sn=88b91a6400b4f07c63ad530628ed456f&chksm=bed4a69e89a32f88981781d420c2e71372ef00de4159ced5a8597c9912aa4b164f19d820e78a#rd
59,毛岸英烈士牺牲七十周年，把颠倒的历史正过来,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679733&idx=1&sn=aed868a67e4a60a4954525fcf96ddd35&chksm=bed4a69489a32f82683ac93f01ff5209ae587ac99e0318e926a8d6b929833d0e6a6df93a1f3a#rd
60,王思聪与曹译文：此刻我们站在命运的餐桌，一端是占有者另一端是多米诺,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679697&idx=1&sn=942f73470c810c9345ef5acc8e102f7d&chksm=bed4a6b089a32fa6ff17d11dc011594c446f3e0ac7001516ffbd3109424bd605d959e38f4afc#rd
61,马云总想做年轻人的精神导师，却让自己成为了资本家的总代表,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679531&idx=1&sn=e7e7fde412b9bba53a42a594dbcf7c07&chksm=bed4a7ca89a32edc19c8731ab1991dc3e9d65b50af558a7b24a436027b783e49b3827faaedb0#rd
62,马保国火了是好事，年轻人“不讲武德”就对了,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679498&idx=1&sn=c9c6e9fede29752e83d8a2449f749c91&chksm=bed4a7eb89a32efdc99dcc12d8b923995454f06b52ae128df5c141324ad9dd4f0c6571810f85#rd
63,拜登的经费还没到账，“自带干粮”的美分党们就已经从棺材里爬出来了,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679428&idx=1&sn=2d7af48905dcfaeebfc5a5f84586f92f&chksm=bed4a7a589a32eb3b8339393268412e26691df8fe7322145207a39be026651d1475ea74dfcb1#rd
64,美国大乱，世界大好，不是小好，是大好,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679393&idx=1&sn=c4dfae06261633d4462bdda20d7a1266&chksm=bed4a74089a32e569dc9ebdda37b77742aa8dd626cdd034a0438294809bc7cc20ba805675c92#rd
65,群蚁的盛宴：警惕马云关于金融开放的言论,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679359&idx=1&sn=37004d5e52eaf9b40f9959300d0e35da&chksm=bed4a71e89a32e08e87d3e523317a13150dbfe29dde17824b7fab621e6a7d2fd27a7e19d7fe1#rd
66,美国大选，我竟然希望特朗普连任（手动狗头）,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679315&idx=1&sn=8bf663fbdb9e83f5163bcd1c434a1180&chksm=bed4a73289a32e248f69a4fbf54ecaea1212dbf4e4a060bb51aa056ec2f681a1d77eecaf59b4#rd
67,刷了几天“打工人”的梗，你却还不肯称我一声“无产阶级同志”,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679288&idx=1&sn=86107020d2055265031277cd920696ad&chksm=bed4a8d989a321cfadc89d29f553099ac55408f5125a5d5c247db11f1a82fd407c2e0197f0f6#rd
68,把毛岸英烈士身上的脏水擦干净,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679226&idx=1&sn=0dbdbbe6175c1f186ee78b9a6e8084e7&chksm=bed4a89b89a3218d4d3c4f4122a1fecbecc2e6a4c88d4448282e6155888ed9c595d31d176798#rd
69,《资本囚笼》：初阶屠龙术——你们公司发年终奖了吗？,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679226&idx=2&sn=3ecbfc8a85567c83987be5739f89a0f9&chksm=bed4a89b89a3218d13bd1ffbbe4a855bd0143bf52d05edd88dafcb042a1b38871c39746ff6f3#rd
70,关于抗美援朝，如何系统反驳脑残、喷子、历史盲、恨国党的种种言论？,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679199&idx=1&sn=5cc7ec3f6c694daed203d4f576a6d405&chksm=bed4a8be89a321a870cdb84eb68a0b31f1e1d4c6774129f8fad5564031ad914ad54b5093c649#rd
71,一个被志愿军在上甘岭狠狠打脸的名字，美国人用它给韩国男团颁奖,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679168&idx=1&sn=1ee6d97c3c6b36f0b363522f02640ed7&chksm=bed4a8a189a321b73a300f0583bd16c9895f1e4056d6e62ad72c0b8c3f4cb579e427a7df9f5c#rd
72,“名媛拼单”是好现象，贵族打倒了，人人都能成“名媛”（手动狗头）,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679124&idx=1&sn=0d885d28bffc66f9200dad63fa57fd26&chksm=bed4a87589a3216364c3c5c7e9504a2413132e4f65202c0904a0dd49fffda315cec04992ce04#rd
73,重发丨毛主席是怎样反对“浮夸风”“共产风”的？,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679065&idx=1&sn=9b01f9642c0fbdf64744ed556120ee08&chksm=bed4a83889a3212ea5dbd5218a668d9b4a2ca28b842d2856d5c4e8e35745473c4a5354c656d8#rd
74,正面硬刚特朗普，微信分了三步走,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679044&idx=1&sn=ddfcb016a502cdc88a9ef453508b8741&chksm=bed4a82589a321337d59850de46dd54a28a5918cbf4d016ae4fee34dcb431f25b0cf2704f080#rd
75,《我和我的家乡》：大导演老戏骨神仙打架，谁更胜一筹？,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650679024&idx=1&sn=8dcd447f8e85e28d2c192afba3df95fa&chksm=bed4a9d189a320c774d82b5b73efed158129e27dfa5aa9c2f40abe2875c72595b7b6f6c0fb16#rd
76,女排精神，“夺冠”之外，还有很多,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678993&idx=1&sn=6c512187a05b15a91a4994ee28367c8c&chksm=bed4a9f089a320e6ca777e2a092a19837ffdfad0eb7fa15d4f0f369412569134eef8d151ebb7#rd
77,一战封神？神话宇宙的构建，《姜子牙》交出了这样的答卷,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678974&idx=1&sn=1056c4c1bf569e5bffc13e3662982606&chksm=bed4a99f89a32089a54868b4b84013af41d27388a7fd51f257b72a576b2abc5d562fce22f319#rd
78,十月一日的意义,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678955&idx=1&sn=5f26c9c121c83db5200d4adf7d1a558c&chksm=bed4a98a89a3209cc788560ba787a27205a1e511c6647c001cc03e9129a3bf1ac932939d6506#rd
79,为什么我们的影视作品中，“人民群众”的形象越来越不堪？,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678929&idx=1&sn=63c516000e47e50de416bd95c36c8720&chksm=bed4a9b089a320a66c4a51dad818094910cc8977695ba04bd19cae676287b816cccb485e7ea2#rd
80,再伟大的故事，也终究敌不过糟糕的导演和编剧,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678883&idx=1&sn=50219601a8805b371fdcf796f9642213&chksm=bed4a94289a320543db1130f04b4c9ab7ecc17829176ff59e9bfc06f81b5ed4fafe79fea992f#rd
81,《资本囚笼》：医疗、教育、养老：市场化的死路与福利化的出路,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678883&idx=2&sn=4c2e16f319d6257330d9e9e5e40656ce&chksm=bed4a94289a32054e6094a84fab0a747570329ba687639ba3693284d112b342b0add2546a569#rd
82,《最美逆行者》：再伟大的故事也敌不过糟糕的导演和编剧,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678882&idx=1&sn=40132fa2196ce416b4cee729aaf73bb6&chksm=bed4a94389a32055fbc22729cd5880e25ea58615b2aabff7e7a3f20d8db8f072fdc51d6cf50b#rd
83,《资本囚笼》：医疗、教育、养老：市场化的死路与福利化的出路,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678882&idx=2&sn=450885ba1b06feb6738629546292422c&chksm=bed4a94389a320555f39c8f750a7b912fda6e4d94a44087facafad6ff319d1e5e2d9f26cf321#rd
84,台湾“百年烂党”病入膏肓，两岸同胞普天同庆,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678825&idx=1&sn=726fe424e92a6a6a2552cd9b2ed148e1&chksm=bed4a90889a3201e557c397b8f21ed7e3285a7ee16167b87f2ade2aef5eabc9200e2a5283a54#rd
85,“困在系统”是表象，“剥削”才是本质,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678756&idx=1&sn=d57475ffc46839156fa2b23300cf8f43&chksm=bed4aac589a323d34e485905282d428a84aa5941424506507eeb5a3e40214158ee4b82923a84#rd
86,“赫鲁晓夫同志，请翻译翻译，什么叫做‘联合舰队’？”,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678698&idx=1&sn=cd5528ef5475c190ee70b8f869b2a3a6&chksm=bed4aa8b89a3239d10a3224a0a75c7bb8cc8ef2cd0ce52e6ddd073abb5b28ca9fd46cef41d3e#rd
87,俄罗斯：丢掉的三十年还能再回来吗？,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678649&idx=1&sn=b4416d4e52fa78c42a9500abc847eed9&chksm=bed4aa5889a3234ec94e69cac11bc50f0db217368d2ebe9381851779241b66a3527f75fcfe98#rd
88,电影院复工一个月，这三部年度佳片绝对不能错过,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678585&idx=1&sn=8fc662b88a81e58cc0ddf15a784bef13&chksm=bed4aa1889a3230efac8d30accca07e68d85a85804005ad10b5bcba994ec2bbab8d337cd531c#rd
89,《资本囚笼》：医生、教师、科研人员——“荣誉性职业”的光荣、矛盾与解药,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678585&idx=2&sn=12b4ec65a8d81838fc738d90c45d8cc1&chksm=bed4aa1889a3230e827b9657891444faf950423444bd3cd24d9a98bf5cc89fe496a4d4adbd7f#rd
90,影视作品中的历史虚无主义，必须要警惕了,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678505&idx=1&sn=86abb1532ddfcf1ba0220633e73f0723&chksm=bed4abc889a322deeed8fed82be2b46205c6cb5e9384ef511cb63689e2f57e702cd5d06b0164#rd
91,为什么还有人相信996真的是“福报”？,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678415&idx=1&sn=e01f3607b6770727a49d840efa316e3d&chksm=bed4abae89a322b8631a4a642b979de2f57f6167073221b4d2c556f0ba84cd2f6f5308dbb214#rd
92,学习“毛选”的纲领笔记：如何归纳梳理“毛泽东思想”？,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678392&idx=1&sn=ab976b89012409e932fb5f97fa7fe95f&chksm=bed4ab5989a3224f2057445988ffd963e816320834b70f8c198a710793877bcf3256c6382c8b#rd
93,真假消息满天飞，粮食危机真的要来了吗？,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678366&idx=1&sn=15f2dc0ced82645fef8fccaa396eafc5&chksm=bed4ab7f89a3226980617fe0d0b43001d73e227eb88a93a08a077d8120ffe06f1d68d3f56fda#rd
94,《资本囚笼》：从“化妆不自由”到当代弱势群体的普遍困境,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678366&idx=2&sn=06ccb11403208671ba1f3a6e32c585f0&chksm=bed4ab7f89a3226917fc7446b5fc056a7996d9a5dc71067b3aac9871a328f585180b7f5a2785#rd
95,先是Tik Tok，又是微信，中国企业“入关”的道路上，注定会经历九九八十一难……,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678295&idx=1&sn=91784b8647c19746c886ef052bb2d8ae&chksm=bed4ab3689a322206e4290ae81c2ce4f7c5e4282ccefe95fec8f7e2cab9a1e52ef67b919d24b#rd
96,淘宝入局，搅动不一样的“下沉市场”,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678290&idx=1&sn=e3e56db03a3c037e71e04c94e555fa3d&chksm=bed4ab3389a322257567e9b3b4048e46dfc396d6cab5b7384ba5f9a2bc4a51a851ca4f47cba3#rd
97,《资本囚笼》：老龄化不可怕，资本主义老龄化才可怕,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678290&idx=2&sn=5123738424d11e0ffd2929d42f71f07d&chksm=bed4ab3389a32225f5c70ac4cf685415f308164041670e4bf91c483422957b2af9aa5b015e49#rd
98,1980年光刻机项目下马，2020年中国手机被芯片扼住了喉咙,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678223&idx=1&sn=bdfde345aca16594f87a65f245ce0598&chksm=bed4acee89a325f84f9226e42bc393816aebd523d49f75a06b6c9d1fc32e000185fa36f69f70#rd
99,民族资产阶级投降了，就成了买办,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678182&idx=1&sn=e9c463542ced2723596a5c1ed6c01cce&chksm=bed4ac8789a325919114106d3609a27d085d690e5ff37e53c6ccc5258d29c25915c972838d05#rd
100,华为和任正非的“红与黑”,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678136&idx=1&sn=45c03bc4e04a5121293797d2743e2b40&chksm=bed4ac5989a3254fbcfd741436bcde4f20f2d6e6d530696d6bb9dca4e527d8348bc5bebea1c1#rd
101,《资本囚笼》：禅修，肥宅与字幕组,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678136&idx=2&sn=51a3119b783789264163d6ab74c79560&chksm=bed4ac5989a3254f81cc0b0ecf30ac12e7c4bbe96fd2d7256e14ccb3223241b435e2b70e4576#rd
102,关闭美国领事馆：历史转折中的国际局势与中美之争,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678092&idx=1&sn=34d188b7cfd739df1eff0f56e9b30279&chksm=bed4ac6d89a3257bc616a5d6784a987d27484268694a4d1151d49704a0ec00404611e70992a6#rd
103,线上办公战场激烈，雷军推荐的飞书好在哪？,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678059&idx=1&sn=a3fd659d7b1812f77dc5239b5fe06d59&chksm=bed4ac0a89a3251cbe6998834176dcc1ae0044ac27dcb9ea809627a196e6925be736669b6eab#rd
104,《资本囚笼》：我们年轻人不愿意生孩子，但问题的根源不在年轻人身上,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678059&idx=2&sn=f5c238c95e68442fd7cc8f204ca61ff4&chksm=bed4ac0a89a3251cd293a65f8e10c928d19b61cc0eb654782c34a3fb0ec06bbb46307fe4502c#rd
105,从浙大“留校察看强奸犯”事件，看“尾巴主义”与按闹分配的危害,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650678005&idx=1&sn=caa646a07a0f04b9eae374019c4da1ac&chksm=bed4add489a324c2c87c003f005136403f0569d10f4b5fd867692ca6d8b1a9b3819f0edc8310#rd
106,宋江：“我是投降主义，我走投机路线，但我依然是梁山泊的好哥哥”,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650677988&idx=1&sn=3448f66e517ad87e58cd3c986d25b2fe&chksm=bed4adc589a324d3e83655dc31dfa4a041f1db909455ec4e5b7bf56c4aaaa86b94071dfe3253#rd
107,1998，共和国没有开闸,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650677950&idx=1&sn=8a012cab92216aa5612f7a0ef65ade6b&chksm=bed4ad9f89a324899e866ba8345cce54538eeaf47270cd0da84c139233a8cc8e65a846089d9d#rd
108,《资本囚笼》第十八章：“这就是工贼的报应”,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650677950&idx=2&sn=054da29581077519a650fda66d7ef5eb&chksm=bed4ad9f89a32489b94445a5a24fbfbfcfc5a5e198dbf92367e8fc0c76ecdf0941898151111d#rd
109,《让子弹飞》三部曲：从革命历史到后革命时代的叹咏调,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650677873&idx=1&sn=8121a104764b1b9d45a034a5c0acf61b&chksm=bed4ad5089a32446e5babb80d886712868704dbaa9d36a8af32b89510bd34f456c95d3429d7f#rd
110,黑人、同性恋、难民：被政治正确绑架的西方文明,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650677803&idx=1&sn=1eb252cd3137c4f9daf7847d19ecd9a1&chksm=bed4ad0a89a3241cc2101014c8c84d0a6991cbdbb0bca40108aad126a682e63f3ed7ea9b44ee#rd
111,《资本囚笼》：当代资本主义剥削的秘密，隐藏在“管理学”的诸多理论背后,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650677803&idx=2&sn=2c1aa35468be35f18bbbb3144020c294&chksm=bed4ad0a89a3241ced5784a04277149ce6c886967e4574cec907b8302d1d4d2f3d40b09684cb#rd
112,明星纷纷下场，红海时代电商直播有那么“香”？,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650677758&idx=1&sn=5d90a5d9df548d36b370af290c0ede4b&chksm=bed4aedf89a327c90a9d38202bad0c9d20b3e10c8bef0b641983d701474827cdb009c23c629d#rd
113,《资本囚笼》第十七章：马云、传教士与996,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650677758&idx=2&sn=9d7a9e16881cff36d46ab753fafd39e4&chksm=bed4aedf89a327c9fa053de434f929ab69ef0ba66cad6683f696dae46c6912fe954b0db688e5#rd
114,毛主席：跟美国人打交道，要站着把钱挣了,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650677710&idx=1&sn=f41317669c385850b926e64bf81920da&chksm=bed4aeef89a327f99a6d32d6dc7fbed9554c07e17ced481f2b20271836fdac4f882a2ebafea5#rd
115,不废江河万古流——悼念“人民的代表”申纪兰,http://mp.weixin.qq.com/s?__biz=MjM5NzE2NTY0Ng==&mid=2650677659&idx=1&sn=1f7cc83349f5d58179bb5dea93d3a838&chksm=bed4aeba89a327acaa089468e55fb3f9e64cc2db2ea19e624873a5944bbb3eca02f64d9cc0cb#rd
